LESEAN MCCOY,PHI,RB,1.8
JAMAAL CHARLES,KC,RB,2.1
ADRIAN PETERSON,MIN,RB,2.8
MATT FORTE,CHI,RB,4.8
CALVIN JOHNSON,DET,WR,5.2
EDDIE LACY,GB,RB,5.8
JIMMY GRAHAM,NO,TE,8.4
DEMARYIUS THOMAS,DEN,WR,8.6
MARSHAWN LYNCH,SEA,RB,9.2
PEYTON MANNING,DEN,QB,9.4
DEZ BRYANT,DAL,WR,11.1
A.J. GREEN,CIN,WR,12.6
DEMARCO MURRAY,DAL,RB,12.6
MONTEE BALL,DEN,RB,13.7
BRANDON MARSHALL,CHI,WR,15.2
LEVEON BELL,PIT,RB,16.2
JULIO JONES,ATL,WR,16.7
DREW BREES,NO,QB,18.1
GIOVANI BERNARD,CIN,RB,18.8
ARIAN FOSTER,HOU,RB,20.1
AARON RODGERS,GB,QB,20.8
JORDY NELSON,GB,WR,21.3
ALFRED MORRIS,WAS,RB,22.1
ANTONIO BROWN,PIT,WR,23.7
ALSHON JEFFERY,CHI,WR,24.8
DOUG MARTIN,TB,RB,26.4
ROB GRONKOWSKI,NE,TE,26.8
ZAC STACY,STL,RB,27.1
RANDALL COBB,GB,WR,28.9
ANDRE ELLINGTON,ARI,RB,29.4
JULIUS THOMAS,DEN,TE,30.5
KEENAN ALLEN,SD,WR,32.3
REGGIE BUSH,DET,RB,32.9
C.J. SPILLER,BUF,RB,34.4
VINCENT JACKSON,TB,WR,35.0
RASHAD JENNINGS,NYG,RB,35.9
VICTOR CRUZ,NYG,WR,37.9
TOBY GERHART,JAC,RB,38.5
PIERRE GARCON,WAS,WR,39.7
RODDY WHITE,ATL,WR,40.0
RYAN MATHEWS,SD,RB,41.3
LARRY FITZGERALD,ARI,WR,42.0
FRANK GORE,SF,RB,42.8
MATTHEW STAFFORD,DET,QB,44.0
WES WELKER,DEN,WR,44.3
ANDRE JOHNSON,HOU,WR,45.3
CORDARRELLE PATTERSON,MIN,WR,45.8
BISHOP SANKEY,TEN,RB,46.6
MICHAEL CRABTREE,SF,WR,48.4
SHANE VEREEN,NE,RB,49.3
RAY RICE,BAL,RB,50.7
DESEAN JACKSON,WAS,WR,50.9
ANDREW LUCK,IND,QB,52.7
TRENT RICHARDSON,IND,RB,53.9
PERCY HARVIN,SEA,WR,54.4
T.Y. HILTON,IND,WR,54.7
MICHAEL FLOYD,ARI,WR,54.7
VERNON DAVIS,SF,TE,55.8
CHRIS JOHNSON,NYJ,RB,57.1
JOIQUE BELL,DET,RB,57.8
JORDAN CAMERON,CLE,TE,60.0
JEREMY MACLIN,PHI,WR,60.4
BEN TATE,CLE,RB,60.7
TORREY SMITH,BAL,WR,62.6
TOM BRADY,NE,QB,64.5
LAMAR MILLER,MIA,RB,65.4
EMMANUEL SANDERS,DEN,WR,66.5
JULIAN EDELMAN,NE,WR,67.8
